Sno.,Acronym,Name,Current Price,Price Change Per Day,Price Change Per Week,Percentage Change Per Day,Percentage Change Per Week
1,F03,P B Films,0.68,0.0000,0,0.0000,0
2,I07,India Steel,0.38,-0.0100,-0.02,-2.5641,-5.0000
3,AFE01,A F Ent,7.01,0.0000,-0.28,0.0000,-3.84
4,AKS,A K S Credits,10.00,0.0000,Nan,0.0000,Nan
5,AKS01,A K Spintex,24.80,-0.0500,-0.1,-0.2012,-0.4
6,APT01,A P T Yarns,0.00,0.0000,Nan,Nan,Nan
7,AA14,Amsons Apparels,0.73,0.0000,0,0.0000,0
8,AKC01,A.K.Capital Ser,277.00,7.0500,14.2,2.6116,5.4
9,AME02,A2Z Infra Eng,4.05,-0.0300,-0.1,-0.7353,-2.41
10,ATL,Prime Urban Dev,8.00,0.0000,0,0.0000,0
11,AA,Aachal Alloys,1.00,-0.9500,Nan,-48.7179,Nan
12,PI37,Panafic Ind,0.20,0.0000,0.01,0.0000,5.2600
13,PC18,Aagam Capital,46.50,0.0000,0,0.0000,0
14,AEM,Aakar Engg & Mf,0.90,-0.1500,Nan,-14.2857,Nan
15,AT01,Aamcol Tools,40.55,0.0000,0,0.0000,0
16,ALS,Aananda Lakshmi,1.91,0.0000,0,0.0000,0
17,AI36,Shirpur Gold,7.56,-0.0400,0.05,-0.5263,0.67
18,AGL,Aankit Granites,0.00,0.0000,Nan,Nan,Nan
19,AAR,AAR COMMERCIAL ,6.02,0.0000,0,0.0000,0
20,ADP,Aarey Drugs,29.70,-1.0000,3.1,-3.2573,11.65
21,KS18,Ennore Coke,2.05,0.0000,0,0.0000,0
22,AS27,Advance Syntex ,10.26,-0.5400,0.78,-5.0000,8.23
23,AD,Aarti Drugs,810.10,38.5500,72,4.9964,9.75
24,AI45,Ceinsys Tech,114.70,4.7000,9.45,4.2727,8.98
25,ASL08,Akshar Spintex,13.58,0.2600,1.02,1.9520,8.12
26,N05,AARV Infratel,2.25,0.0000,0,0.0000,0
27,ADE,Aarvee Denim,11.20,0.5200,-0.03,4.8689,-0.27
28,KIF02,KIFS Financial,43.75,0.0000,-0.10,0.0000,-0.2300
29,AS12,Aasheesh Sec,0.73,-0.0300,Nan,-3.9474,Nan
30,ATE02,Aaswa Trading,15.43,0.7300,Nan,4.9660,Nan
31,AF17,Black Rose Ind,125.25,0.2500,-0.5,0.2000,-0.4
32,AFH01,Aayush Food ,32.95,-0.6500,-1.9,-1.9345,-5.45
33,ABC05,AB Corp,NT*,0.0000,Nan,0.0000,Nan
34,ABF01,AB F&R-PP,76.15,1.7000,6.45,2.2834,9.25
35,ABF,AB Fashion RE,9.60,0.0000,-2.9,0.0000,-23.2
36,AC,Abacus Computer,4.40,0.3000,Nan,7.3171,Nan
37,MST03,ABans Enterpris,178.00,8.2500,21.60,4.8601,13.8100
38,ABB,ABB India,862.55,3.1000,10.2,0.3607,1.2
39,APP03,ABB Power Produ,988.15,62.8500,50.05,6.7924,5.34
40,AI51,Aanchal Ispat,4.44,-0.1600,-0.11,-3.4783,-2.42
41,ABC02,ABC Bearings,437.65,0.0000,0,0.0000,0
42,BE05,ABC Gas,6.98,0.0000,0.01,0.0000,0.14
43,ABC,ABC India,51.90,0.5500,3,1.0711,6.13
44,AP17,Abco Plastic,1.05,-0.0500,Nan,-4.5455,Nan
45,APR01,Abee Printer,4.28,0.2000,Nan,4.9020,Nan
46,ABG01,ABG Shipyard,1.12,0.0000,0,0.0000,0
47,ATC01,Abhijit Trading,10.00,0.0000,0,0.0000,0
48,ACS04,Adharshila Cap,12.50,0.0000,0,0.0000,0
49,ALF03,Abhinav Leasing,0.73,0.0000,0,0.0000,0
50,AF32,AAVAS Financier,1415.60,-20.5000,41.25,-1.4275,3
51,AFS,Abirami Finance,2.78,-0.1400,-0.62,-4.7945,-18.24
52,ABL,ABL Biotech,0.81,0.0000,0,0.0000,0
53,ABN,ABN Granites,0.00,0.0000,Nan,Nan,Nan
54,AP01,Abner Pharma,1.42,-0.0400,Nan,-2.7397,Nan
55,ACC06,Ashika Credit,21.30,0.3000,-0.05,1.4286,-0.23
56,AT17,Acropetal Tech,1.67,0.0000,0,0.0000,0
57,KAL,Accelya Kale,1035.00,0.5000,4.85,0.0483,0.4700
58,AT19,Alphalogic Tech,91.80,0.0000,0.3,0.0000,0.33
59,AS22,Avantel,388.60,-13.0500,-20.55,-3.2491,-5.02
60,AS26,Amarnath Sec,17.10,0.0000,0,0.0000,0
61,AE12,Accurate Exp,0.10,0.0000,Nan,0.0000,Nan
62,ATL03,Accurate Transf,24.35,0.0000,0,0.0000,0
63,AIF,ACE Edutrend,1.60,0.0000,0,0.0000,0
64,AIS,Asahi India,209.25,0.4500,4.65,0.2155,2.27
65,AL01,Ace Labs,4.20,0.0000,Nan,0.0000,Nan
66,AME03,Ace Men Engg Wo,23.35,-0.1000,1.2,-0.4264,5.42
67,ASE02,Ace Soft Export,12.89,0.6100,0.49,4.9674,3.95
68,AS23,Ace Software,10.00,0.0000,Nan,0.0000,Nan
69,ASL02,Ace Stonecraft ,0.00,0.0000,Nan,Nan,Nan
70,ATW,Ace Tours,2.08,0.0000,0,0.0000,0
71,AI68,A Infra.,20.90,-1.1000,-2.25,-5.0000,-9.72
72,ACI07,ACI Infocom,0.49,0.0000,0,0.0000,0
73,AK,Acknit Industri,66.95,-3.0500,-3.65,-4.3571,-5.17
74,AFP01,Acme Fluoro Pol,0.00,0.0000,Nan,Nan,Nan
75,AI02,Acme Industries,1.00,0.0000,Nan,0.0000,Nan
76,ASL01,Acme Spinners,0.00,0.0000,Nan,Nan,Nan
77,AE,Acquaint Export,1.00,0.0000,Nan,0.0000,Nan
78,AI03,Acrow India,95.30,0.0000,8.8,0.0000,10.17
79,AI04,Acrysil India,113.35,-0.7000,3.3,-0.6138,3
80,ACE3,Action Const,72.35,5.3500,3.95,7.9851,5.77
81,AFS01,Action Financia,6.23,0.0000,0,0.0000,0
82,ACC,ACC,1415.35,21.5000,82.25,1.5425,6.17
83,ATI01,Acumen Trading ,0.00,0.0000,Nan,Nan,Nan
84,AMF01,Ad Manum Fin,14.50,0.0000,0.8,0.0000,5.84
85,AC01,Adam Comsof,3.27,0.1300,Nan,4.1401,Nan
86,AE13,Arunjyoti Enter,7.50,0.0000,0,0.0000,0
87,ADANI54145,Adani Green Ene,747.05,9.2000,99.2,1.2469,15.31
88,MPS,Adani Ports,354.00,13.1000,27.65,3.8428,8.4700
89,AP11,National Tech,32.95,-0.2500,3.95,-0.7530,13.62
90,ACF,Adarsh Chemical,5.00,0.0300,Nan,0.6036,Nan
91,AM12,Adarsh Mercant,5.90,0.0000,0,0.0000,0
92,APP01,Adarsh Plant,4.85,0.0000,0.45,0.0000,10.23
93,KC07,ADC India Comm,193.00,0.0000,9.2,0.0000,5.01
94,ACS03,Adcon Capital S,0.00,0.0000,Nan,Nan,Nan
95,ALP,Add-Life Pharma,0.46,-0.1100,Nan,-19.2982,Nan
96,AP12,Resonance,46.95,2.2000,-0.05,4.9162,-0.11
97,AI05,Addi Industries,6.60,0.0000,0,0.0000,0
98,AV01,Adel Visi,140.00,8.0000,Nan,6.0606,Nan
99,AF30,Abhishek Finle,12.15,0.0000,0.15,0.0000,1.25
100,ACS05,Adcon Capital,8.56,0.0000,0.01,0.0000,0.12
101,AI71,Anmol India,27.00,0.0000,0,0.0000,0
102,AI67,Abhishek Infra,1.56,0.0000,-0.25,0.0000,-13.81
103,AM9,Adhunik Metalik,0.49,0.0000,0,0.0000,0
104,AS,Adhunik Synth,1.00,0.0000,Nan,0.0000,Nan
105,AY,Adhunik Yarns,0.90,0.0000,Nan,0.0000,Nan
106,ABL02,Adinath Bio-Lab,0.30,0.0000,0,0.0000,0
107,AER,Adinath Exim,5.60,0.0000,-0.1,0.0000,-1.75
108,AT02,ADINATH TEXTILE,1.40,0.0000,0,0.0000,0
109,AAL,Adithya Alkaloi,0.00,0.0000,Nan,Nan,Nan
110,AAC03,Adithya Aqua,0.00,0.0000,Nan,Nan,Nan
111,AC02,Aegis Logistics,228.15,-0.3500,2.15,-0.1532,0.95
112,PFR,Aditya Birla F,132.65,-0.7500,4.70,-0.5622,3.6700
113,ACM01,Avonmore Cap,10.33,0.1300,0.37,1.2745,3.71
114,AEC02,Aditya Electro,1.00,0.0000,Nan,0.0000,Nan
115,AEL01,Aditya Exports ,0.00,0.0000,Nan,Nan,Nan
116,AF,Aditya Forge,3.11,0.0000,0,0.0000,0
117,AI37,Aditya Int,68.95,-4.1500,Nan,-5.6772,Nan
118,AI06,Aditya Ispat,7.05,0.3300,0.65,4.9107,10.16
119,ALI01,Aditya Lime,1.00,0.0000,Nan,0.0000,Nan
120,AML01,Aditya Mills,0.00,0.0000,Nan,Nan,Nan
121,APL02,Aditya Polymers,0.00,0.0000,Nan,Nan,Nan
122,AS01,Aditya Spinners,6.86,-0.1300,-0.55,-1.8598,-7.42
123,AV,Amco India,31.30,-1.6000,2.8,-4.8632,9.82
124,AF22,Ador Fontech,33.10,-0.2500,-2.15,-0.7496,-6.1
125,AM01,Ador Multi,58.00,0.0000,0,0.0000,0
126,AP25,Ador Powertron,1.00,0.0000,Nan,0.0000,Nan
127,AT11,Ador Technopak,4.82,-0.1800,Nan,-3.6000,Nan
128,ADS,ADS Diagnostic,11.34,0.0000,0,0.0000,0
129,AIL05,Advait Infratec,51.35,-0.0500,-0.2,-0.0973,-0.39
130,ABC04,Advance Bio-Coa,0.00,0.0000,Nan,Nan,Nan
131,AAM,Advance Life,38.40,0.0000,0,0.0000,0
132,AMT,Advance Meter,8.40,0.4000,-0.38,5.0000,-4.33
133,AM02,Advance Multi,4.08,0.6800,Nan,20.0000,Nan
134,AP02,Advance Petro,38.95,0.0000,0,0.0000,0
135,MF05,Advance Power,1.32,0.0000,0,0.0000,0
136,AS08,Ashima,7.87,0.3700,0.02,4.9333,0.25
137,AET,Axtel Ind,240.55,11.4500,8.3,4.9978,3.57
138,AMD,Advanced Micron,9.55,0.0000,0,0.0000,0
139,AI39,Advanta,643.80,0.0000,0,0.0000,0
140,ACS01,Advent Computer,1.06,-0.0500,-0.04,-4.5045,-3.64
141,AIL04,Advik Capital ,0.55,0.0000,-0.04,0.0000,-6.78
142,AL07,Advik Labors,0.36,0.0000,0,0.0000,0
143,ATI,Alok Industries,20.50,0.9500,-1.7,4.8593,-7.66
144,AEC,AEC Enterprises,0.35,-0.1000,Nan,-22.2222,Nan
145,AEC01,AEC India,2.25,0.0000,Nan,0.0000,Nan
146,AI07,Aeonian Pub,185.00,0.0000,Nan,0.0000,Nan
147,AR05,Aesculapius Rem,2.71,-0.3000,Nan,-9.9668,Nan
148,ARA,Affordable Robo,36.90,-1.9000,-2.25,-4.8969,-5.75
149,ARVIN54248,AFL,125.10,1.9000,-2.55,1.5422,-2
150,APMFI54277,AFL,17.00,-0.8500,-0.4,-4.7619,-2.3
151,AI43,Anisha Impex,99.45,-3.5500,-1.15,-3.4466,-1.14
152,ADG01,AGL,193.35,4.1500,9.55,2.1934,5.2
153,AME01,Agri Marine Exp,2.00,-0.5000,Nan,-20.0000,Nan
154,ATI02,Agri-Tech,29.90,0.3000,0.2,1.0135,0.67
155,ACL04,Agrimas Chem,0.00,0.0000,Nan,Nan,Nan
156,AC11,Aditri Industri,0.39,0.0000,0.01,0.0000,2.63
157,AHF,Agritech Hatch,1.50,0.0000,Nan,0.0000,Nan
158,ACP01,Agro Chem Punj,0.00,0.0000,Nan,Nan,Nan
159,API,Asian Paints,2040.95,53.4000,116.55,2.6867,6.06
160,AI44,Atishay,37.60,-1.7500,-1.75,-4.4473,-4.45
161,AE21,Artemis,69.00,-1.0000,-1,-1.4286,-1.43
162,API01,Ahlcon Parent,515.00,0.0000,0,0.0000,0
163,ACI12,Ahluwalia,236.50,2.3000,2.55,0.9821,1.09
164,AS02,Ahmedabad St,14.00,0.0000,-0.55,0.0000,-3.78
165,AWE,Ahura Weld,45.35,0.0000,Nan,0.0000,Nan
166,AIC02,Panorama Studio,60.00,0.0000,-1,0.0000,-1.64
167,AIE01,AIA Engineering,1841.35,-5.3500,99.65,-0.2897,5.72
168,AIHL54252,AIH,0.00,0.0000,0,Nan,0
169,MPU,Aikyam Intellec,7.10,0.0000,0,0.0000,0
170,AP03,Aimco Pesticide,105.00,1.9500,-8.75,1.8923,-7.69
171,ACI02,Air Command,1.25,0.0500,Nan,4.1667,Nan
172,ACT,Air Command Tec,1.65,0.2500,Nan,17.8571,Nan
173,A09,S P Apparels,138.25,3.7500,24.05,2.7881,21.06
174,AL08,Amardeep,0.88,0.0000,0.04,0.0000,4.76
175,AT15,Aishwarya Tech,2.38,0.0000,-0.12,0.0000,-4.8
176,AJB,AJ Brothers,2.25,0.4000,Nan,21.6216,Nan
177,AP22,Ajanta Pharma,1583.10,-29.9000,32,-1.8537,2.06
178,AS03,Ajanta Soya,38.20,-0.1500,-0.7,-0.3911,-1.8
179,AT03,Ajanta Tubes,1.00,0.0000,Nan,0.0000,Nan
180,AI64,Arfin India,35.05,-0.7500,-1.15,-2.0950,-3.18
181,AFW,Ajwa Fun World,6.54,0.0000,0,0.0000,0
182,AI09,Akai Impex,1.20,0.2000,Nan,20.0000,Nan
183,AT04,Akar Auto Indus,15.85,-0.1000,0.55,-0.6270,3.59
184,AL03,Akar Laminators,0.85,-0.2000,Nan,-19.0476,Nan
185,AA11,Akash Agencies,1.00,0.0000,Nan,0.0000,Nan
186,AAI,Akash Agro Ind,1.00,0.0000,Nan,0.0000,Nan
187,AH03,Akash Housing,1.00,0.0000,Nan,0.0000,Nan
188,AMI,Akashdeep Metal,26.65,1.1500,1,4.5098,3.9
189,AKC,AKC Synthetics,2.00,0.0000,Nan,0.0000,Nan
190,AKG,AKG Acoustics,5.00,0.0000,Nan,0.0000,Nan
191,ACL01,Akhil Ceramics ,0.00,0.0000,Nan,Nan,Nan
192,AKM,AKM Lace and Em,14.40,0.0000,2.4,0.0000,20
193,ASH01,Akme Star,100.55,-2.4000,8.2,-2.3312,8.88
194,AO03,Aksh Optifibre,5.56,-0.0800,-0.33,-1.4184,-5.6
195,ASL,Aviva Ind,11.76,0.0000,0,0.0000,0
196,AI29,AksharChem,223.90,-1.1000,3.9,-0.4889,1.77
197,AS21,Akshay Software,1.00,0.0000,Nan,0.0000,Nan
198,ICI,Akzo Nobel,2155.00,-6.7500,139.05,-0.3122,6.9000
199,AAF02,Al-Amanat Finan,0.00,0.0000,Nan,Nan,Nan
200,AE02,Alacrity Elec,2.81,-0.6900,Nan,-19.7143,Nan
201,AH01,Alacrity Housin,2.31,0.3700,Nan,19.0722,Nan
202,AS04,Alka India,0.19,0.0000,0,0.0000,0
203,AIG,Alang Ind Gases,6.88,0.0000,0,0.0000,0
204,AM03,Alang Marine,1.55,-0.4500,Nan,-22.5000,Nan
205,EGJ,Alankit,17.95,0.4500,2.05,2.5714,12.8900
206,AD01,Albert David,433.70,-6.9000,19.2,-1.5660,4.63
207,AO01,Alchemie Organi,10.50,0.0000,Nan,0.0000,Nan
208,AC23,Asia Capital,15.80,0.0000,0,0.0000,0
209,AR08,Acme Resources,10.25,0.0000,0.51,0.0000,5.24
210,AM04,Alcobex Metals,25.00,-0.5000,Nan,-1.9608,Nan
211,A08,Amrutanjan Heal,427.25,4.0500,3.15,0.9570,0.74
212,AGI,Alembic Glass,2888.20,137.5000,Nan,4.9987,Nan
213,AP04,Alert Petrogas,13.50,0.5000,Nan,3.8462,Nan
214,JLF,Alexander Stamp,14.90,0.4200,1.18,2.9006,8.6000
215,AE03,Alexcon Extr,1.00,0.0000,Nan,0.0000,Nan
216,AF04,Alexcon Foam,1.05,-0.2000,Nan,-16.0000,Nan
217,AET01,Alfa Exports,1.40,-0.4500,Nan,-24.3243,Nan
218,AIC,Alfa ICA,23.65,-1.2000,-3.75,-4.8290,-13.69
219,ALI02,Alfa Laval,3946.50,4.4500,Nan,0.1129,Nan
220,AT06,Alfa Transforme,16.00,0.0000,1.16,0.0000,7.82
221,ASF,Alfavision Sec,25.50,0.0000,0,0.0000,0
222,AHI,Alfred Herbert,526.65,-20.3500,-23.35,-3.7203,-4.25
223,EC06,Edelweiss,58.85,0.0000,0.25,0.0000,0.4300
224,ADI01,Alka Diamond,9.25,0.0000,0,0.0000,0
225,AI52,AGI Infra,54.85,0.9500,3.05,1.7625,5.89
226,AS17,Alka Secur,0.24,0.0000,-0.01,0.0000,-4
227,AM11,Alkali Metals,46.55,0.4000,0.6,0.8667,1.31
228,AL05,Apcotex Ind,145.40,2.0500,5.5,1.4301,3.93
229,AAC,Alkyl Amines,3249.75,42.1000,94.55,1.3125,3
230,AMP,All Metal Proc,3.50,0.5000,Nan,16.6667,Nan
231,AB15,Allahabad Bank,7.61,0.0000,-0.79,0.0000,-9.4
232,AGL02,Allcargo,124.15,0.0000,-4.4,0.0000,-3.42
233,ACF01,Alliance Capita,1.00,0.0000,Nan,0.0000,Nan
234,ACI03,Alliance Credit,2.50,0.0000,Nan,0.0000,Nan
235,AFM,Alliance Funds,1.00,0.0000,Nan,0.0000,Nan
236,AIM,Alliance Integ,13.90,0.0000,0,0.0000,0
237,ADS01,Allied Digital,23.25,0.9000,1.2,4.0268,5.44
238,ARC,Allied Resins,1.00,0.0000,Nan,0.0000,Nan
239,ALL01,ALLSEC Tech,254.15,12.1500,6.15,5.0207,2.48
240,AC17,Allsoft Corp,5.00,-0.6500,Nan,-11.5044,Nan
241,AGS,AGS Infotech,17.85,-0.9000,Nan,-4.8000,Nan
242,ATE03,Alna Trading,28.95,28.9500,Nan,Nan,Nan
243,ATC03,Alora Trading ,1.01,0.0000,0,0.0000,0
244,AE04,Alp Exports,2.50,0.5000,Nan,25.0000,Nan
245,AL11,Alpa Labs,29.90,-0.7000,2.3,-2.2876,8.33
246,ADI,Alpha Drugs,38.65,-0.6000,Nan,-1.5287,Nan
247,AGI03,Alpha Graphic,2.39,0.0000,0,0.0000,0
248,AHT,Alpha Hi-Tech,0.87,0.0000,0,0.0000,0
249,AI10,Alphageo,156.95,0.8500,6.5,0.5445,4.32
250,AF05,Alpic Finance,1.70,-0.2000,Nan,-10.5263,Nan
251,ACS,Alpine Capital,3.68,0.1700,Nan,4.8433,Nan
252,AHD,Alpine Hsg,9.57,-0.6300,-0.23,-6.1765,-2.35
253,AI11,Alpine Ind,0.30,-0.0500,Nan,-14.2857,Nan
254,AI12,Alps Industries,1.34,0.0000,0.09,0.0000,7.2
255,AI42,Archidply Ind,24.85,-0.0500,0.1,-0.2008,0.4
256,AL04,Alps Labs,2.40,0.4500,Nan,23.0769,Nan
257,AMF03,Alps Motor Fin,0.40,0.0000,0,0.0000,0
258,ACH,Alsa Construct,1.80,0.2500,Nan,16.1290,Nan
259,AMH,Alsa Marine,0.40,0.0500,Nan,14.2857,Nan
260,SH14,Alstone Text,10.00,0.0000,0,0.0000,0
261,AI13,Altos India,8.80,0.0000,Nan,0.0000,Nan
262,A01,Alufluoride,224.75,-2.1000,11.1,-0.9257,5.2
263,AA16,A-1 Acid ,65.50,-0.5000,0.15,-0.7576,0.23
264,AA15,Ashari Agencies,8.50,0.0000,0,0.0000,0
265,AIL,Aluminium Ind,0.00,0.0000,Nan,Nan,Nan
266,AAE,Amajin Agro Exp,0.00,0.0000,Nan,Nan,Nan
267,AP05,Amal,187.10,1.4500,3.25,0.7810,1.77
268,AE05,Amalgamated Ele,32.50,0.0000,0.00,0.0000,0.0000
269,AAF,Aman Aditya Fin,6.50,0.0000,Nan,0.0000,Nan
270,ATE01,Amani Trading,62.00,0.0000,0,0.0000,0
271,AA07,Amar Alcoholi,1.00,0.0000,Nan,0.0000,Nan
272,ADC,Amar Dye-Chem,1.00,0.0000,Nan,0.0000,Nan
273,AR07,Amar Remedies,6.07,0.0000,Nan,0.0000,Nan
274,AVL,Amar Vanijya,0.00,0.0000,Nan,Nan,Nan
275,ARB,Amara Raja Batt,756.30,-7.3500,30.4,-0.9625,4.19
276,ASM01,Amarjothi Spin,49.45,-0.8000,-1.3,-1.5920,-2.56
277,AS25,Alacrity Sec,8.50,0.0000,0,0.0000,0
278,BAL01,Amaze Entertech,128.50,-2.1500,-8.45,-1.6456,-6.17
279,ACE,Amb Cem East,113.35,-0.8000,Nan,-0.7008,Nan
280,ASE,Ambalal Sarabha,19.45,0.8000,1.7,4.2895,9.58
281,AO,Ador Welding,244.45,-0.3500,4.05,-0.1430,1.68
282,AHR02,Ambe Hotel,0.00,0.0000,Nan,Nan,Nan
283,AEI01,Amber Enterpris,2039.40,2.4000,90.85,0.1178,4.66
284,APL01,Ambik Proteins ,0.00,0.0000,Nan,Nan,Nan
285,ACM04,Ambika Cotton,675.50,15.3500,29.2,2.3252,4.52
286,ASM05,Ambika Silk,0.00,0.0000,Nan,Nan,Nan
287,AM,Arvind,34.10,0.2500,1.1,0.7386,3.33
288,AP06,Ambitious Plast,2.37,0.0000,0,0.0000,0
289,AAI01,Ambuja Agro,1.00,0.0000,Nan,0.0000,Nan
290,AC18,Matra Realty,0.37,0.0000,0,0.0000,0
291,AE06,Ambuja Electro,0.95,0.1500,Nan,18.7500,Nan
292,AFM01,Ambuja Flour,1.00,0.0000,Nan,0.0000,Nan
293,ASS,Ambuja Shipping,1.50,0.0000,Nan,0.0000,Nan
294,AZ,Ambuja Zinc,1.05,0.0500,Nan,5.0000,Nan
295,AI61,Adhunik Ind,19.65,0.8500,1.35,4.5213,7.38
296,AME,AMEI Power,1.00,0.0000,Nan,0.0000,Nan
297,API04,American Paints,1.00,0.0000,Nan,0.0000,Nan
298,AR03,American Remedy,143.75,-2.4000,Nan,-1.6421,Nan
299,ATL02,Amethi Textiles,0.00,0.0000,Nan,Nan,Nan
300,ACC01,Amex Carbonates,1.00,0.0000,Nan,0.0000,Nan
301,AI14,Amforge,1.96,-0.0400,-0.04,-2.0000,-2
302,ACI04,Ami Computers,1.67,0.2600,Nan,18.4397,Nan
303,AE07,Amigo Exports,1.00,0.0000,Nan,0.0000,Nan
304,AMINT54177,Amin Tannery,0.77,0.0000,0.06,0.0000,8.45
305,AP07,Amines Plast,53.80,2.3000,2.05,4.4660,3.96
306,AC03,Aminex Chemical,2.05,0.0000,Nan,0.0000,Nan
307,AF06,Amison Foods,1.00,-0.1500,Nan,-13.0435,Nan
308,AI15,Amit Intern,2.90,0.0000,0,0.0000,0
309,AS13,Amit Securities,1.59,-0.0800,0,-4.7904,0
310,ASI03,Alan Scott Ind,21.00,0.0000,0.5,0.0000,2.44
311,PPP,AMJ Land ,18.55,-0.2500,0.05,-1.3298,0.2700
312,AML03,AML Steel,NT*,0.0000,Nan,0.0000,Nan
313,ABP,Ammana Bio,NT*,0.0000,Nan,0.0000,Nan
314,AP08,Ampro Products,1.00,0.0000,Nan,0.0000,Nan
315,ACF05,Amrapali Cap,5.69,0.0000,0,0.0000,0
316,AF08,Vipul,13.95,0.0000,0.75,0.0000,5.68
317,AI16,Amrapali Ind,3.65,0.0000,-0.16,0.0000,-4.2
318,AA13,Aries Agro,77.55,0.4000,0.15,0.5185,0.19
319,ABC06,Kuantum Papers,41.75,-0.4000,1.95,-0.9490,4.9
320,AC20,Real Touch Fin,5.74,-0.2700,-0.88,-4.4925,-13.29
321,ACC02,Amrut Credit,1.00,0.0000,Nan,0.0000,Nan
322,AI17,Amrut Ind,1.50,0.0000,Nan,0.0000,Nan
323,SMA02,AMS POLYMERS,20.25,0.0000,0,0.0000,0
324,ARTEM54291,AMSL,156.00,0.5000,0,0.3215,0
325,AA09,Ambica Agar,4.00,0.0000,0,0.0000,0
326,AA01,Amtek Auto,2.82,0.0000,0,0.0000,0
327,AA03,Amzel Auto,421.00,37.8000,Nan,9.8643,Nan
328,AF07,Anagram Finance,3.55,0.0000,Nan,0.0000,Nan
329,ADC01,Anan Drug,0.00,0.0000,Nan,Nan,Nan
330,AC04,Anand Cotspin,1.00,0.0000,Nan,0.0000,Nan
331,AC14,Anand Credit,0.50,-0.0200,Nan,-3.8462,Nan
332,AES,Anand Projects,18.30,0.3500,Nan,1.9499,Nan
333,AR09,Anand Rayons,32.00,0.5000,-0.15,1.5873,-0.47
334,ARI,Anant Raj,31.30,0.4000,1.2,1.2945,3.99
335,AC05,Anco Comm,2.15,-0.5000,Nan,-18.8679,Nan
336,AB14,Andhra Bank,9.14,0.0000,-0.61,0.0000,-6.26
337,AC16,Andhra Cement,4.84,-0.0100,0.07,-0.2062,1.47
338,APP,Andhra Paper,198.50,4.2500,4.5,2.1879,2.32
339,AP09,Andhra Petro,34.40,1.0500,4.95,3.1484,16.81
340,APS01,Andhra Pradesh ,0.00,0.0000,Nan,Nan,Nan
341,ASL07,Andhra Sinter,0.00,0.0000,Nan,Nan,Nan
342,AS18,Andhra Sugar,298.70,-0.6500,-3.9,-0.2171,-1.29
343,AVP,Andhra Valley,56.00,-0.3500,Nan,-0.6211,Nan
344,AYC,Andrew Yule,12.77,0.0700,0.01,0.5512,0.08
345,FI02,Aneri Fincap,6.14,-0.3200,-0.66,-4.9536,-9.7100
346,ANG,ANG Industries,0.74,0.0000,0,0.0000,0
347,ALI,PharmaciaHealth,132.85,1.7000,Nan,1.2962,Nan
348,ABL03,Angel Broking,306.00,296.0000,0,2960.0000,0
349,AF10,Shiva Texyarn,90.20,-2.7000,-2.35,-2.9064,-2.54
350,ASB,Anik Ship,NT*,0.0000,Nan,0.0000,Nan
351,ASB01,Anik Ship Break,0.00,0.0000,Nan,Nan,Nan
352,AS05,Anik Steels,1.00,0.0000,Nan,0.0000,Nan
353,AI26,Anil Special,1.08,0.0000,0,0.0000,0
354,AI08,Aftek,1.63,0.0000,0,0.0000,0
355,AF28,Amrapali Fincap,12.16,0.0000,0,0.0000,0
356,RFI,Anjani Foods,38.90,0.7500,2.85,1.9659,7.9100
357,ASI02,Anjani Solvents,0.00,0.0000,Nan,Nan,Nan
358,AS06,Anjani Synth,13.49,0.4900,0.93,3.7692,7.4
359,AI41,Anka Ind,8.92,0.4200,1.56,4.9412,21.2
360,AMa,Ankit Metal,0.83,-0.0100,-0.04,-1.1905,-4.6
361,AY01,Ankit Yarns,0.50,0.0000,Nan,0.0000,Nan
362,AZO,Ankuj Zinc-Oxid,1.75,0.0500,Nan,2.9412,Nan
363,ADP01,Alps Infosys,0.50,-0.1000,Nan,-16.6667,Nan
364,AF23,Ankush Finstock,3.79,0.0000,0,0.0000,0
365,AD02,Anmol Dairy,1.55,0.1000,Nan,6.8966,Nan
366,ADP02,Anmol Drugs,0.00,0.0000,Nan,Nan,Nan
367,AFL,Anna Finance,7.57,0.0000,0,0.0000,0
368,AF11,Annapurna Foils,3.25,0.3000,Nan,10.1695,Nan
369,ANS,ANS Industries,23.00,0.0000,0,0.0000,0
370,AB11,Ansal Buildwell,25.60,1.9000,3.15,8.0169,14.03
371,AHC,Ansal Housing,3.99,-0.1500,0.09,-3.6232,2.31
372,AC06,Anshuni Com,3.99,0.0000,0,0.0000,0
373,AI30,TVS Autolec,137.00,-1.8500,Nan,-1.3324,Nan
374,AWP,Anugraha Wood,1.00,0.0000,Nan,0.0000,Nan
375,AP10,Anuh Pharma,189.60,-0.3000,1.05,-0.1580,0.56
376,ACE01,Anukaran Commer,0.28,0.0000,0,0.0000,0
377,AML02,Anup Malleables,17.50,0.0000,0,0.0000,0
378,ASL06,Anupama Steel,0.00,0.0000,Nan,Nan,Nan
379,AP18,CNI Research,1.59,-0.0100,0,-0.6250,0
380,AL12,Anus Labs,0.24,0.0000,0,0.0000,0
381,AIL03,Anusha Intl,0.00,0.0000,Nan,Nan,Nan
382,APT,Ap Tanneries,6.70,0.0000,Nan,0.0000,Nan
383,AI40,Apar Ind,289.40,-2.6000,0.15,-0.8904,0.05
384,AI58,Arihant Institu,2.84,0.1300,0.48,4.7970,20.34
