Sno.,Acronym,Name,Current Price,Price Change Per Day,Price Change Per Week,Percentage Change Per Day,Percentage Change Per Week
6705,TIC,Tata Inv Corp,841.00,-4.1000,10.50,-0.4851,1.2600
6706,TM,Tata Metaliks,520.25,0.9000,13.85,0.1733,2.7300
6707,TMW,Tata Motors (W),287.00,2.0000,Nan,0.7018,Nan
6708,TPC,Tata Power,54.45,1.3000,1.35,2.4459,2.5400
6709,TSS,Tata SSL,26.50,0.7000,Nan,2.7132,Nan
6710,TIS,Tata Steel,364.95,5.2000,13.05,1.4454,3.7100
6711,TSF,Tata Steel FPO,NT*,0.0000,Nan,0.0000,Nan
6712,TSI,Tata Steel Long,320.95,0.8500,7.45,0.2655,2.3800
6713,TSC02,Tata Steel-CCPS,73.83,-3.0700,Nan,-3.9922,Nan
6714,TCS01,TATACAP II,987.28,-2.7200,Nan,-0.2747,Nan
6715,TAT01,TATACAP III,991.02,-1.8400,Nan,-0.1853,Nan
6716,TAT02,TATACAP IV,1389.27,2.6100,Nan,0.1882,Nan
6717,TAT03,TATACOFNCD,48.76,0.0000,Nan,0.0000,Nan
6718,TBL,Tatanagar Brick,0.00,0.0000,Nan,Nan,Nan
6719,TSH,Tatia Skylines,2.20,0.0000,0,0.0000,0
6720,TNS,Taurus Nw(Ro,5.75,-1.8500,Nan,-24.3421,Nan
6721,TSS01,Taurus StarShar,4.70,0.0000,Nan,0.0000,Nan
6722,TRL,Taylormade Rene,4.10,0.0000,0,0.0000,0
6723,TCF01,TCFC Finance,16.65,-0.7000,-0.40,-4.0346,-2.3500
6724,TCI07,TCI Developers,304.95,5.9500,4.95,1.9900,1.6500
6725,TCI08,TCI Express,808.00,34.4000,40.70,4.4467,5.3000
6726,TCI01,TCI Finance,4.49,0.0400,-0.03,0.8989,-0.6600
6727,TCI06,TCI Industries,597.00,28.4000,-33.00,4.9947,-5.2400
6728,TCM01,TCM,47.75,0.0000,0,0.0000,0
6729,TCC,TCNS Clothing C,393.65,-1.3000,11.55,-0.3292,3.0200
6730,TCP01,TCP,NT*,0.0000,Nan,0.0000,Nan
6731,TCS,TCS,2522.75,31.2500,100.45,1.2543,4.1500
6732,TTL,Tea Time Ltd,0.00,0.0000,Nan,Nan,Nan
6733,TPC01,Teaktex Process,2.00,0.7500,Nan,60.0000,Nan
6734,TS13,Taksheel Solut,3.25,0.1500,Nan,4.8387,Nan
6735,TM4,Tech Mahindra,822.65,30.9500,50.10,3.9093,6.4900
6736,TP02,Tech Plastics,1.00,0.0000,Nan,0.0000,Nan
6737,NS07,Techindia Nirm,2.83,0.1200,0,4.4280,0
6738,TECHN54214,TE&E,245.00,0.3000,Nan,0.1226,Nan
6739,TF02,Techno Forge,11.07,0.0000,0,0.0000,0
6740,TII01,Technocraft Ind,356.95,-11.8500,7.45,-3.2131,2.1300
6741,TE13,Thejo Engg,NT*,0.0000,Nan,0.0000,Nan
6742,TCL,Technojet Consl,53.20,1.0000,Nan,1.9157,Nan
6743,STL01,TechNVision,94.25,-4.9500,-9.55,-4.9899,-9.2000
6744,TP03,Techtran Polyle,3.43,0.0000,0,0.0000,0
6745,TCH,Tecil Chemicals,1.60,0.1500,Nan,10.3448,Nan
6746,TS03,Accel,10.30,0.4500,1.38,4.5685,15.4700
6747,TL,Teem Labs,17.50,-0.9000,Nan,-4.8913,Nan
6748,TAI,Teesta Agro Ind,19.30,0.0000,0,0.0000,0
6749,TN,Tejas Networks,72.25,-0.7000,1.10,-0.9596,1.5500
6750,SSL12,Sterling Spinne,0.00,0.0000,Nan,Nan,Nan
6751,TH02,Timbor Home,2.21,0.0000,0,0.0000,0
6752,TIL02,Tejoomals Ind,0.00,0.0000,Nan,Nan,Nan
6753,TAE,Teknomin Aqua,1.00,0.0000,Nan,0.0000,Nan
6754,TI04,Tektronix India,91.00,0.7500,Nan,0.8310,Nan
6755,TI28,H K Trade Intl,20.00,0.0000,0,0.0000,0
6756,TMS01,Teledata Marine,0.29,0.0000,Nan,0.0000,Nan
6757,TTS,Teledata Tech,0.12,0.0000,Nan,0.0000,Nan
6758,TSL,Telematics Syst,0.00,0.0000,Nan,Nan,Nan
6759,TC02,Telephone Cable,1.70,0.0300,Nan,1.7964,Nan
6760,TS9,Telesys Soft,3.33,0.1500,Nan,4.7170,Nan
6761,TIL04,Teletek India,0.00,0.0000,Nan,Nan,Nan
6762,SE25,Shreeshay Engin,16.50,0.0000,0,0.0000,0
6763,TF03,Temptation Food,4.02,0.1300,Nan,3.3419,Nan
6764,TWP,Tentiwala Metal,3.40,0.0000,0,0.0000,0
6765,TS14,Tera Software,26.55,0.3000,0.90,1.1429,3.5100
6766,TTC01,Terai Tea Co,32.30,-1.7000,-1.10,-5.0000,-3.2900
6767,EBL,Terraform,0.00,0.0000,Nan,Nan,Nan
6768,EFL,Terraform Real,0.00,0.0000,Nan,Nan,Nan
6769,MI41,Meera Industrie,31.65,0.0500,-1.60,0.1582,-4.8100
6770,VE04,Terruzzi Fercal,8.58,0.0000,0,0.0000,0
6771,TI05,Terryfab India,1.00,0.0000,Nan,0.0000,Nan
6772,TI06,Terrygold India,1.10,0.0000,Nan,0.0000,Nan
6773,TI07,Texel Ind,4.88,0.2300,0.86,4.9462,21.3900
